tweet_cleaned,tweet,polarity
prast antis imperiālists atbalstīt viena pasaule vēsture nemainākajiem imperiāls režīms darbība pavadīt žēlība iznīcība karš labs parāds patiess vērtība savukārt runa dirsa,"@ms_logina Nu, bet protams, kas tas būtu par anti-imperiālistu, kas neatbalstītu vienu no pasaules vēsturē nemainākajiem imperiālajiem režīmiem, kura katru darbību pavada nežēlība un iznīcība. Šis karš labi parāda, kam ir patiesas vērtības un kas, savukārt, runā no savas dirsas.",0
šodien pašapkalpoties kasēt nočiept vieta laiks meklēt papīrs maiss izrādīt jaušs savdabīgs nostrādāt zemapziņa runāt uzreiz sākt krievisks cilvēks interesants karš līdzīgs labs padomāt tiešs,"Šodien pašapkalpošanās kasē man nočiepa vietu laikā kad meklēju papīra maisiņu. Kā izrādās, nejauši. Savdabīgi gan nostrādāja mana zemapziņa, jo runāt uzreiz sāku Krieviski ar šo cilvēku. Interesanti vai pirms kara būtu bijis līdzīgi? Ja tā labi padomā - tieši tā pat.",1
iet lasīt nra objektīvs patiess interesants galvens uztvere viegls pareizs ziņa traucēt iepazīt kvalitatīvs žurnālistika lūgt redzēt labs populārs medijs tūdaliņu rupors,"@DaceZa @egliitis @ArvisKolmanis Ej un lasi NRA! Būs tev objektīvas, patiesas, interesantas un galvenais - uztverei vieglas pareizās ziņas. Kas tev traucē iepazīties ar kvalitatīvu žurnālistiku? Lūdzu! Bet, nē, redz. Nav labi, ka ir populārs medijs, kurš nav tūdaliņu rupors.",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
palasīt dažs čomska intervija izmantot daudzi vārds pateikt asv slikts krievija labs,"@RicardsMiezitis Es palasīju vēl dažas Čomska intervijas. Viņš izmanto daudz vārdus, lai pateiktu, ka ASV slikti, krievija - labi.",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
pāris intervija dzēst hamatovas grēks laiks absurds naivums,"RT @bonafid_true: @MaijaM6 @MartasTante @agnerts @jrt_lv Jā, pāris intervijas dzēš Hamatovas grēkus uz visiem laikiem. Kāds absurds naivums…",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
pāris intervija dzēst hamatovas grēks laiks absurds naivums,"RT @bonafid_true: @MaijaM6 @MartasTante @agnerts @jrt_lv Jā, pāris intervijas dzēš Hamatovas grēkus uz visiem laikiem. Kāds absurds naivums…",1
latvisks dzīvesziņa beigt labs beigas,"RT @pepija: Latviskā dzīvesziņa: ja kaut kas beidzas labi, tad tās vēl nav beigas.",1
aiziet rinda vairs sēne borščs nogaršot derunus sirņikus vareņikus labs,"RT @lastguru_net: Tā, aizgāju. Rindu vairs nebija, taču sēņu boršča arī 😭 bet nogaršoju Derunus, Sirņikus un Vareņikus. Bija labi!",1
spēlēt maijs labs labs dīdžejs dāvis ventspils,“Spēlēsi maijā? Tad labi! Ir maz labu dīdžeju.” Dāvis no Ventspils,1
aizdomāties liet pofig labs prast saindēt poļūs vorineža iedzivotāji traģēdija,"@JurgisLiepnieks @miiljux aizdomājas, cita lieta ka viņam pofig, būtu labi protams saindēt poļūs, bet ja tas bus Vorineža iedzivotāji nav nekādas traģēdijas.",1
tavs rezultāts,Kāds ir tavs rezultāts? 🌍 https://t.co/cFAOHpWDRT,1
taisīt jauns uztaisīt ļoti labs sanākt,"@Strautmate Man nebija jātaisa, jaunākā (19) uztaisīja — viņai ļoti labi sanāk",1
labs pārstāt vispārināt daļa publiskot vakcinēt fans vakcīnfanu kļūt pārdaugava sūds aizstāvis laipotājs karš jautājums kļūt huila ru atbalstītājs attiekt pilns noderīgs idiots sab med,"@rusantro Būtu labi, ja pārstātu vispārināt.
Jo daļa publisko vakcinēšanās fanu (vakcīnfanu) kļuvuši par Pārdaugavas sūda aizstāvjiem un laipotājiem kara jautājumā, kļūstot par huila un ru atbalstītājiem.
a un b attiecas arī uz viņiem. Pilns ar šiem noderīgajiem idiotiem is sab. med.",0
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
šonakt sapņot gruzīns restorāns combo piedāvājums vakariņas stand up šovs īpašnieks pasniegt asākus ēdiens joks likt īpašs labs otrādāk švaks vakars mazs ass laiks publika humors izjūta koriģēt garšviela,"Šonakt sapņoju par gruzīnu restorānu ar combo piedāvājumu: vakariņas + stand up šovs. Īpašnieks pasniedza asākus ēdienus, kad joki viņam likās īpaši labi. Un otrādāk - švakos vakaros mazāk asus. Ar laiku publikas humora izjūtu varēja koriģēt ar garšvielām vien. 🍲 🍲🍲",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
labs pavadīt laiks atcerēties,"Kad tu labi pavadi laiku, bet tad atceries, ka e k s i s t ē. https://t.co/ymecwDRn7r",1
arestovičs labs paskaidrot masa mobilizācija rus iespējamība vidējs krievelis vienkāršs mīkstmiesis,"RT @FDarzs: Arestovičs labi paskaidro, kāpēc masu mobilizācija iekš RUS ir neiespējamība:
Vidējais krievelis ir vienkārši mīkstmiesis un pa…",1
gatavs lieldienas galds iedvesma piedāvāt divi recepte divi grāmata ola nūdele zupa jarinas perepeļicas darbs ēst mēness ritms cept ābols maikls grēgera darbs how not die pavārgrāmata labs garšot,"Vai viss jau gatavs Lieldienu galdam? :) Iedvesmai piedāvājam divas receptes no divām e-grāmatām: olu nūdeļu zupu no Jarinas Perepeļicas darba ""Ēdam pēc Mēness ritmiem"" un ceptus ābolus no Maikla Grēgera darba ""How not to die. Pavārgrāmata"". Lai labi garšo! https://t.co/5DZoLcGeRm",1
sis atsevisks gadijums tomer neticas latvija gads valstiskums atjaunosanas tads iespejams si labs barot krieviete vecaka gads interese situacija izversas atlaist darbs uzsakta tiesvediba,"@Paradnieks @Valsts_policija Varbut sis bija atsevisks gadijums, jo tomer neticas, ka Latvija 30 gadus pec valstiskuma atjaunosanas kas tads iespejams, pie kam si labi barota krieviete nav vecaka ka 30 gadi. Bet man interese, ka situacija izversas, vai vina tika atlaista no darba, vai ir uzsakta tiesvediba?",1
labs garša trauks iemaisīt,"@World_berg @IngaIngucis @Skrebels Labi, ka visas garšas nav 1 traukā iemaisītas !",1
latvisks dzīvesziņa beigt labs beigas,"RT @pepija: Latviskā dzīvesziņa: ja kaut kas beidzas labi, tad tās vēl nav beigas.",1
